country_name,date,parameter,product,value,unit
Australia,12/1/2023,Net Electricity Production,Electricity,22646.1901,GWh
Australia,12/1/2023,Net Electricity Production,Total Combustible Fuels,13397.9356,GWh
Australia,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",9768.5223,GWh
Australia,12/1/2023,Net Electricity Production,Oil and Petroleum Products,289.5415,GWh
Australia,12/1/2023,Net Electricity Production,Natural Gas,3091.9272,GWh
Australia,12/1/2023,Net Electricity Production,Combustible Renewables,247.9446,GWh
Australia,12/1/2023,Net Electricity Production,Hydro,1047.854,GWh
Australia,12/1/2023,Net Electricity Production,Wind,2719.2534,GWh
Australia,12/1/2023,Net Electricity Production,Solar,5481.1471,GWh
Australia,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",9496.1991,GWh
Australia,12/1/2023,Used for pumped storage,Electricity,51.4665,GWh
Australia,12/1/2023,Distribution Losses,Electricity,992.7051,GWh
Australia,12/1/2023,Final Consumption (Calculated),Electricity,21602.0184,GWh
Austria,12/1/2023,Net Electricity Production,Electricity,6783.273,GWh
Austria,12/1/2023,Net Electricity Production,Total Combustible Fuels,1746.9034,GWh
Austria,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",167.3548,GWh
Austria,12/1/2023,Net Electricity Production,Oil and Petroleum Products,73.8682,GWh
Austria,12/1/2023,Net Electricity Production,Natural Gas,1035.0865,GWh
Austria,12/1/2023,Net Electricity Production,Combustible Renewables,407.4009,GWh
Austria,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,63.1929,GWh
Austria,12/1/2023,Net Electricity Production,Hydro,4187.4854,GWh
Austria,12/1/2023,Net Electricity Production,Wind,779.5912,GWh
Austria,12/1/2023,Net Electricity Production,Solar,68.6574,GWh
Austria,12/1/2023,Net Electricity Production,Geothermal,0.0025,GWh
Austria,12/1/2023,Net Electricity Production,Not Specified,0.6331,GWh
Austria,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5443.1374,GWh
Austria,12/1/2023,Total Imports,Electricity,2160.89,GWh
Austria,12/1/2023,Total Exports,Electricity,2035.1686,GWh
Austria,12/1/2023,Used for pumped storage,Electricity,626.7909,GWh
Austria,12/1/2023,Distribution Losses,Electricity,313.4765,GWh
Austria,12/1/2023,Final Consumption (Calculated),Electricity,5968.727,GWh
Belgium,12/1/2023,Net Electricity Production,Electricity,6799.1069,GWh
Belgium,12/1/2023,Net Electricity Production,Nuclear,2905.5618,GWh
Belgium,12/1/2023,Net Electricity Production,Total Combustible Fuels,1521.7645,GWh
Belgium,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",1.2419,GWh
Belgium,12/1/2023,Net Electricity Production,Oil and Petroleum Products,5.8373,GWh
Belgium,12/1/2023,Net Electricity Production,Natural Gas,1247.0054,GWh
Belgium,12/1/2023,Net Electricity Production,Combustible Renewables,200.9037,GWh
Belgium,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,66.7762,GWh
Belgium,12/1/2023,Net Electricity Production,Hydro,164.5348,GWh
Belgium,12/1/2023,Net Electricity Production,Wind,2076.6035,GWh
Belgium,12/1/2023,Net Electricity Production,Solar,114.2926,GWh
Belgium,12/1/2023,Net Electricity Production,Not Specified,16.3496,GWh
Belgium,12/1/2023,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2556.3347,GWh
Belgium,12/1/2023,Total Imports,Electricity,1651.328,GWh
Belgium,12/1/2023,Total Exports,Electricity,1463.4889,GWh
Belgium,12/1/2023,Used for pumped storage,Electricity,149.1022,GWh
Belgium,12/1/2023,Distribution Losses,Electricity,283.009,GWh
Belgium,12/1/2023,Final Consumption (Calculated),Electricity,6554.8348,GWh
Canada,12/1/2023,Net Electricity Production,Electricity,55982.2209,GWh
Canada,12/1/2023,Net Electricity Production,Nuclear,7540.9104,GWh
Canada,12/1/2023,Net Electricity Production,Total Combustible Fuels,11574.9467,GWh
Canada,12/1/2023,Net Electricity Production,"Coal, Peat and Manufactured Gases",3157.887,GWh
Canada,12/1/2023,Net Electricity Production,Oil and Petroleum Products,392.4441,GWh
Canada,12/1/2023,Net Electricity Production,Natural Gas,7084.2532,GWh
Canada,12/1/2023,Net Electricity Production,Combustible Renewables,928.4452,GWh
Canada,12/1/2023,Net Electricity Production,Other Combustible Non-Renewables,11.9172,GWh
Canada,12/1/2023,Net Electricity Production,Hydro,32216.9259,GWh
